Date,Close
12/31/69,35.2
1/30/70,34.99
2/27/70,35.02
3/31/70,35.3
4/30/70,35.85
5/29/70,35.45
6/30/70,35.49
7/31/70,35.3
8/31/70,35.8
9/30/70,36.4
10/30/70,37.25
11/30/70,37.54
12/31/70,37.38
1/29/71,38.05
2/26/71,38.8
3/31/71,38.88
4/30/71,39.7
5/31/71,40.84
6/30/71,40.1
7/30/71,42.4
8/31/71,40.65
9/30/71,42.6
10/29/71,42.34
11/30/71,43.6
12/31/71,43.55
1/31/72,47.15
2/29/72,48.2
3/31/72,48.38
4/28/72,49.6
5/31/72,59.45
6/30/72,64.65
7/31/72,68.3
8/31/72,66.88
9/29/72,64.2
10/31/72,64.39
11/30/72,63.6
12/29/72,64.9
1/31/73,66
2/28/73,85
3/30/73,90
4/30/73,90.72
5/31/73,114.75
6/29/73,123.25
7/31/73,115.6
8/31/73,103.5
9/28/73,100
10/31/73,98
11/30/73,101
12/31/73,112.25
1/31/74,132.5
2/28/74,162.5
3/29/74,173
4/30/74,169.25
5/31/74,156.75
6/28/74,144.25
7/31/74,156
8/30/74,156
9/30/74,151.25
10/31/74,167
11/29/74,184
12/31/74,186.5
1/31/75,175.8
2/28/75,181.75
3/31/75,177.25
4/30/75,167
5/30/75,167
6/30/75,166.25
7/31/75,166.7
8/29/75,159.8
9/30/75,141.25
10/31/75,142.9
11/28/75,138.15
12/31/75,140.25
1/30/76,128.15
2/27/76,132.3
3/31/76,129.6
4/30/76,128.4
5/31/76,125.5
6/30/76,123.8
7/30/76,112.5
8/31/76,104
9/30/76,116
10/29/76,123.15
11/30/76,130.25
12/31/76,134.5
1/31/77,132.3
2/28/77,142.75
3/31/77,148.9
4/29/77,147.25
5/31/77,142.95
6/30/77,143
7/29/77,144.1
8/31/77,146
9/30/77,154.05
10/31/77,161.5
11/30/77,160.05
12/30/77,164.95
1/31/78,175.75
2/28/78,182.25
3/31/78,181.6
4/28/78,170.85
5/31/78,184.15
6/30/78,183.05
7/31/78,200.25
8/31/78,208.7
9/29/78,217.1
10/31/78,242.6
11/30/78,193.4
12/29/78,226
1/31/79,233.7
2/28/79,251.3
3/30/79,240.1
4/30/79,245.3
5/31/79,274.6
6/29/79,277.5
7/31/79,296.45
8/31/79,315.1
9/28/79,397.25
10/31/79,382
11/30/79,415.65
12/31/79,512
1/31/80,653
2/29/80,637
3/31/80,494.5
4/30/80,518
5/30/80,535.5
6/30/80,653.5
7/31/80,614.25
8/29/80,631.25
9/30/80,666.75
10/31/80,629
11/28/80,619.75
12/31/80,589.75
1/30/81,506.5
2/27/81,489
3/31/81,513.75
4/30/81,482.75
5/29/81,479.25
6/30/81,426
7/31/81,406
8/31/81,425
9/30/81,428.75
10/30/81,427
11/30/81,414.5
12/31/81,397.5
1/29/82,387
2/26/82,362.6
3/31/82,320
4/30/82,361.25
5/31/82,325.25
6/30/82,317.5
7/30/82,342.9
8/31/82,411.5
9/30/82,397
10/29/82,423.25
11/30/82,436
12/31/82,456.9
1/31/83,499.5
2/28/83,408.5
3/31/83,414.75
4/29/83,429.25
5/31/83,437.5
6/30/83,416
7/29/83,422
8/31/83,414.25
9/30/83,405
10/31/83,382
11/30/83,405
12/30/83,382.4
1/31/84,373.75
2/29/84,394.25
3/30/84,388.5
4/30/84,375.8
5/31/84,384.25
6/29/84,373.05
7/31/84,342.35
8/31/84,348.25
9/28/84,343.75
10/31/84,333.5
11/30/84,329
12/31/84,308.3
1/31/85,306.65
2/28/85,287.75
3/29/85,329.25
4/30/85,321.35
5/31/85,314
6/28/85,317.75
7/31/85,327.5
8/30/85,333.25
9/30/85,325.75
10/31/85,325.1
11/29/85,325.3
12/31/85,326.8
1/31/86,350.5
2/28/86,338.15
3/31/86,344
4/30/86,345.75
5/30/86,343.2
6/30/86,346.75
7/31/86,357.5
8/29/86,384.7
9/30/86,423.2
10/31/86,401
11/28/86,389.5
12/31/86,388.75
1/30/87,400.5
2/27/87,405.85
3/31/87,421
4/30/87,453.25
5/29/87,451
6/30/87,447.3
7/31/87,462.5
8/31/87,453.4
9/30/87,459.5
10/30/87,468.8
11/30/87,492.5
12/31/87,484.1
1/29/88,458
2/29/88,426.15
3/31/88,456.95
4/29/88,449
5/31/88,455.5
6/30/88,436.55
7/29/88,436.8
8/31/88,427.75
9/30/88,396.7
10/31/88,412.4
11/30/88,422.6
12/30/88,410.25
1/31/89,394
2/28/89,387
3/31/89,383.2
4/28/89,377.55
5/31/89,361.8
6/30/89,373
7/31/89,368.3
8/31/89,359.8
9/29/89,366.5
10/31/89,375.3
11/30/89,408.15
12/29/89,398.6
1/31/90,415.05
2/28/90,407.7
3/30/90,368.5
4/30/90,367.75
5/31/90,363.05
6/29/90,352.2
7/31/90,372.3
8/31/90,387.75
9/28/90,408.4
10/31/90,379.5
11/30/90,384.85
12/31/90,386.2
1/31/91,366
2/28/91,362.7
3/29/91,355.65
4/30/91,357.75
5/31/91,360.4
6/28/91,368.35
7/31/91,362.85
8/30/91,347.4
9/30/91,354.9
10/31/91,357.45
11/29/91,366.3
12/31/91,353.15
1/31/92,354.1
2/28/92,353.1
3/31/92,341.7
4/30/92,336.35
5/29/92,337.5
6/30/92,343.4
7/31/92,357.85
8/31/92,340
9/30/92,349
10/30/92,339.25
11/30/92,334.2
12/31/92,332.9
1/29/93,330.45
2/26/93,327.6
3/31/93,337.8
4/30/93,354.3
5/31/93,377.45
6/30/93,378.45
7/30/93,401.75
8/31/93,371.55
9/30/93,355.5
10/29/93,369.6
11/30/93,370.9
12/31/93,391.75
1/31/94,377.9
2/28/94,381.55
3/31/94,389.2
4/29/94,376.45
5/31/94,387.6
6/30/94,388.25
7/29/94,384
8/31/94,385.75
9/30/94,394.85
10/31/94,383.85
11/30/94,383.1
12/30/94,383.25
1/31/95,374.9
2/28/95,376.4
3/31/95,392
4/28/95,389.75
5/31/95,384.3
6/30/95,387.05
7/31/95,383.35
8/31/95,382.35
9/29/95,384
10/31/95,382.65
11/30/95,387.8
12/29/95,387
1/31/96,405.55
2/29/96,400.65
3/29/96,396.35
4/30/96,391.3
5/31/96,390.55
6/28/96,382
7/31/96,385.3
8/30/96,386.45
9/30/96,379
10/31/96,379.5
11/29/96,371.3
12/31/96,369.25
1/31/97,345.5
2/28/97,358.6
3/31/97,348.15
4/30/97,340.15
5/30/97,345.6
6/30/97,334.55
7/31/97,326.35
8/29/97,325.35
9/30/97,332.1
10/31/97,311.4
11/28/97,296.8
12/31/97,290.2
1/30/98,304.85
2/27/98,297.4
3/31/98,301
4/30/98,310.7
5/29/98,293.6
6/30/98,296.3
7/31/98,288.85
8/31/98,273.4
9/30/98,293.85
10/30/98,292.3
11/30/98,294.7
12/31/98,287.8
1/29/99,285.4
2/26/99,287.05
3/31/99,279.45
4/30/99,286.6
5/31/99,268.6
6/30/99,261
7/30/99,255.6
8/31/99,254.8
9/30/99,299
10/29/99,299.1
11/30/99,291.35
12/31/99,290.25
1/31/00,283.3
2/29/00,293.65
3/31/00,276.75
4/28/00,275.05
5/31/00,272.25
6/30/00,288.15
7/31/00,276.75
8/31/00,277
9/29/00,273.65
10/31/00,264.5
11/30/00,269.1
12/29/00,274.45
1/31/01,264.5
2/28/01,266.7
3/30/01,257.7
4/30/01,263.15
5/31/01,267.5
6/29/01,270.6
7/31/01,265.9
8/31/01,273
9/28/01,293.1
10/31/01,278.75
11/30/01,275.5
12/31/01,276.5
1/31/02,282.3
2/28/02,296.85
3/29/02,301.4
4/30/02,308.2
5/31/02,326.6
6/28/02,318.5
7/31/02,304.65
8/30/02,312.8
9/30/02,323.7
10/31/02,316.9
11/29/02,319.05
12/31/02,347.2
1/31/03,367.5
2/28/03,347.45
3/31/03,334.85
4/30/03,336.75
5/30/03,361.4
6/30/03,346
7/31/03,354.75
8/29/03,375.6
9/30/03,388
10/31/03,386.25
11/28/03,398.35
12/31/03,416.25
1/30/04,399.75
2/27/04,395.85
3/31/04,423.7
4/30/04,388.5
5/31/04,393.25
6/30/04,395.8
7/30/04,391.4
8/31/04,407.25
9/30/04,415.65
10/29/04,425.55
11/30/04,453.4
12/31/04,435.6
1/31/05,422.15
2/28/05,435.45
3/31/05,427.5
4/29/05,435.7
5/31/05,414.45
6/30/05,437.1
7/29/05,429
8/31/05,433.25
9/30/05,473.25
10/31/05,470.75
11/30/05,495.65
12/30/05,513
1/31/06,568.75
2/28/06,556
3/31/06,582
4/28/06,644
5/31/06,653
6/30/06,613.5
7/31/06,632.5
8/31/06,623.5
9/29/06,599.25
10/31/06,603.75
11/30/06,646.7
12/29/06,632
1/31/07,650.5
2/28/07,664.2
3/30/07,661.75
4/30/07,677
5/31/07,659.1
6/29/07,650.5
7/31/07,665.5
8/31/07,672
9/28/07,743
10/31/07,789.5
11/30/07,783.5
12/31/07,833.75
1/31/08,923.25
2/29/08,971.5
3/31/08,933.5
4/30/08,871
5/30/08,885.75
6/30/08,930.25
7/31/08,918
8/29/08,833
9/30/08,884.5
10/31/08,730.75
11/28/08,814.5
12/31/08,869.75
1/30/09,919.5
2/27/09,952
3/31/09,916.5
4/30/09,883.25
5/29/09,975.5
6/30/09,934.5
7/31/09,939
8/31/09,955.5
9/30/09,995.75
10/30/09,1040
11/30/09,1175.75
12/31/09,1087.5
1/29/10,1078.5
2/26/10,1108.25
3/31/10,1115.5
4/30/10,1179.25
5/31/10,1207.5
6/30/10,1244
7/30/10,1169
8/31/10,1246
9/30/10,1307
10/29/10,1346.75
11/30/10,1383.5
12/31/10,1405.5
1/31/11,1327
2/28/11,1411
3/31/11,1439
4/29/11,1535.5
5/31/11,1536.5
6/30/11,1505.5
7/29/11,1628.5
8/31/11,1813.5
9/30/11,1620
10/31/11,1722
11/30/11,1746
12/30/11,1531
1/31/12,1744
2/29/12,1770
3/30/12,1662.5
4/30/12,1651.25
5/31/12,1558
6/29/12,1598.5
7/31/12,1622
8/31/12,1648.5
9/28/12,1776
10/31/12,1719
11/30/12,1726
12/31/12,1657.5
1/31/13,1664.75
2/28/13,1588.5
3/29/13,1598.25
4/30/13,1469
5/31/13,1394.5
6/28/13,1192
7/31/13,1314.5
8/30/13,1394.75
9/30/13,1326.5
10/31/13,1324
11/29/13,1253
12/31/13,1204.5
1/31/14,1251
2/28/14,1326.5
3/31/14,1291.75
4/30/14,1288.5
5/30/14,1250.5
6/30/14,1315
7/31/14,1285.25
8/29/14,1285.75
9/30/14,1216.5
10/31/14,1164.25
11/28/14,1182.75
12/31/14,1206
1/30/15,1260.25
2/27/15,1214
3/31/15,1187
4/30/15,1180.25
5/29/15,1191.4
6/30/15,1171
7/31/15,1098.4
8/31/15,1135
9/30/15,1114
10/30/15,1142.35
11/30/15,1061.9
12/31/15,1060
1/29/16,1111.8
2/29/16,1234.9
3/31/16,1237
4/29/16,1285.65
5/31/16,1212.1
6/30/16,1320.75
7/29/16,1342
8/31/16,1309.25
9/30/16,1322.5
10/31/16,1272
11/30/16,1178.1
12/30/16,1145.9
1/31/17,1212.8
2/28/17,1255.6
3/31/17,1244.85
4/28/17,1266.45
5/31/17,1266.2
6/30/17,1242.25
7/31/17,1267.55
8/31/17,1311.75
9/29/17,1283.1
10/31/17,1270.15
11/30/17,1280.2
12/29/17,1291
1/31/18,1345.05
2/28/18,1317.85
3/30/18,1323.85
4/30/18,1313.2
5/31/18,1305.35
6/29/18,1250.45
7/31/18,1220.95
8/31/18,1202.45
9/28/18,1187.25
10/31/18,1214.95
11/30/18,1217.55
12/31/18,1279
1/31/19,1323.25
2/28/19,1319.15
3/29/19,1295.4
4/30/19,1282.3
5/31/19,1295.55
6/28/19,1409
7/31/19,1427.55
8/30/19,1528.4
9/30/19,1485.3
10/31/19,1510.95
11/29/19,1460.15
12/31/19,1514.75
1/31/20,1584.2
2/28/20,1609.85
3/31/20,1608.95
4/30/20,1702.75
5/29/20,1728.7
6/30/20,1768.1
7/31/20,1964.9
8/31/20,1957.35
9/30/20,1886.9
10/30/20,1881.85
11/30/20,1762.55
12/31/20,1887.6
